卡酷少儿
浙江少儿
河北少儿科教
金鹰卡通
CN卡通
名侦探柯南
哆啦A梦「动漫」
猫和老鼠
中华小当家
「斗鱼」火影忍者
动画片,#genre#
卡酷少儿,http://124.116.183.146:9901/tsfile/live/0137_1.m3u8
浙江少儿,http://120.55.49.231:3543/rtp/233.50.201.138:5140
河北少儿科教,http://3ad2a0.tv.netsite.cc/proxy/177438581/177438581.m3u8
优漫卡通,https://stream1.freetv.fun/9a50e666912cb82bd584eb50bb030b7f654275ed05a586ef3c63ac39789df94b.m3u8
嘉佳卡通,https://stream1.freetv.fun/jia-jia-qia-tong-24.ctv
CN卡通,p3p://167.114.175.6:55331/61ded38e000d52023d43f93e0ee00012
茶啊二中「动画」,https://live.iill.top/huya/11213191
航海王「动漫」,https://live.iill.top/huya/16913382
七龙珠「动漫」,https://live.iill.top/huya/11601966
猫和老鼠,https://live.iill.top/huya/11352879
斗破苍穹玄幻剧,https://live.metshop.top/yy/1356051105
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225662/2.m3u8
「斗鱼」火影忍者,http://live.iill.top/douyu.php?id=1997723
新动漫,https://fmbox.cc/公众号玉玉软件库/tv/yc.php?id=xdm-2
